ID,WR_L4,WR_MOST_L4,RD_L4,Sum_Effi,D64_W33,D64_W50,D64_W66,D128_W33,D128_W50,D128_W66,D256_W33,D256_W50,D256_W66
1,42,44,19,614.61,44.36,45.43,45.51,77.95,74.53,71.85,88.42,84.53,82.03
2,42,44,21,617.86,45.16,46.44,45.8,78.58,75.44,72.58,87.65,84.05,82.16
3,42,44,23,620.4,45.89,47.15,46.22,78.93,76.09,72.88,87.08,83.74,82.42
4,42,44,25,626.9,48.5,47.8,46.63,80.39,76.31,73.77,86.69,84.08,82.73
5,42,44,27,625.4,48.31,48.15,46.87,80.36,76.08,73.48,85.84,83.53,82.78
6,42,44,29,628.53,49.24,48.37,47.15,80.25,76.4,74.04,86.17,83.39,83.52
7,42,44,31,580.09,0.0,48.57,47.55,80.9,76.27,73.86,86.71,83.5,82.73
8,42,44,33,632.04,50.46,48.95,47.61,81.13,76.23,74.14,86.37,83.58,83.57
9,42,48,19,622.69,44.27,46.62,46.35,78.75,76.27,73.05,88.87,85.61,82.9
10,42,48,21,628.07,45.92,47.08,46.57,80.21,76.08,73.87,89.42,85.8,83.12
11,42,48,23,630.23,47.64,47.81,46.95,80.44,77.03,74.27,87.76,85.66,82.67
12,42,48,25,631.89,48.39,48.28,47.26,80.96,77.12,74.42,87.57,84.7,83.19
13,42,48,27,631.9,49.52,48.63,47.36,79.49,77.04,74.24,87.25,84.65,83.72
14,42,48,29,635.14,50.31,49.34,47.83,81.33,77.57,74.5,87.61,83.95,82.7
15,42,48,31,638.37,50.68,49.44,48.06,80.78,77.73,74.66,87.77,85.43,83.82
16,42,48,33,638.31,50.83,49.55,48.01,81.1,77.38,74.91,87.63,84.99,83.91
17,42,52,19,543.2,45.33,47.44,47.14,78.61,77.02,74.35,89.72,0.0,83.59
18,42,52,21,549.33,47.27,47.52,47.15,79.05,77.79,74.9,89.17,86.48,0.0
19,42,52,23,635.98,47.91,48.73,47.58,80.94,78.35,74.92,87.95,85.99,83.61
20,42,52,25,557.11,49.5,48.9,48.12,0.0,78.37,75.54,87.29,85.84,83.55
21,42,52,27,640.08,49.46,49.32,48.44,81.24,78.53,75.51,88.18,85.88,83.52
22,42,52,29,643.6,51.63,50.23,48.59,81.49,78.39,75.48,88.27,85.77,83.75
23,42,52,31,643.26,51.05,50.09,48.74,81.78,78.07,75.18,88.84,85.14,84.37
24,42,52,33,554.74,51.77,50.12,48.56,81.69,77.85,75.49,0.0,85.65,83.61
25,42,56,19,634.72,46.32,47.81,47.44,78.73,77.85,75.75,89.61,86.85,84.36
26,42,56,21,505.52,0.0,48.74,48.24,80.26,78.49,75.9,89.62,0.0,84.27
27,42,56,23,640.86,49.23,49.04,48.77,80.42,79.04,76.31,87.94,86.5,83.61
28,42,56,25,641.66,49.22,49.57,48.21,81.29,78.56,76.17,88.44,86.25,83.95
29,42,56,27,595.6,50.37,50.04,0.0,81.26,79.35,76.34,88.61,85.38,84.25
30,42,56,29,645.3,51.45,50.22,49.56,81.57,79.34,76.21,87.48,85.62,83.85
31,42,56,31,648.89,51.36,50.83,48.93,81.49,79.1,76.66,89.73,86.21,84.58
32,42,56,33,648.08,51.24,50.3,49.17,81.26,78.95,76.33,89.72,87.0,84.11
33,42,60,19,641.49,47.96,48.31,48.61,79.49,78.1,75.8,90.07,88.06,85.09
34,42,60,21,644.3,48.93,49.16,48.7,80.63,78.64,76.39,88.98,87.43,85.44
35,42,60,23,646.72,49.47,50.11,49.06,80.98,78.74,76.6,89.66,87.09,85.01
36,42,60,25,646.64,49.94,50.05,49.44,81.74,79.57,77.05,87.93,87.04,83.88
37,42,60,27,649.18,49.61,50.16,49.79,81.57,79.56,76.64,90.47,86.53,84.85
38,42,60,29,648.56,49.97,49.94,49.64,81.31,79.25,76.78,89.83,87.22,84.62
39,42,60,31,650.5,50.99,50.14,49.76,81.68,79.13,76.79,89.95,87.09,84.97
40,42,60,33,650.44,50.6,50.04,49.45,80.47,79.12,76.96,90.5,87.94,85.36
41,42,64,19,644.1,48.01,48.91,49.18,79.33,78.2,76.85,89.87,88.03,85.72
42,42,64,21,647.14,49.13,49.68,49.82,79.53,78.9,76.96,89.02,88.04,86.06
43,42,64,23,650.83,49.81,50.28,49.5,81.81,79.59,77.81,89.23,87.45,85.35
44,42,64,25,651.17,50.58,50.19,50.14,80.8,79.61,77.52,88.43,88.23,85.67
45,42,64,27,651.91,50.49,50.52,49.44,81.76,79.92,77.88,89.4,87.08,85.42
46,42,64,29,651.57,50.37,50.28,49.74,81.0,79.64,77.32,89.64,87.87,85.71
47,42,64,31,651.67,50.49,49.99,49.92,81.11,79.47,77.56,90.04,87.41,85.68
48,42,64,33,649.83,50.99,50.09,49.76,79.76,79.0,77.25,89.9,87.23,85.85
49,44,44,19,615.08,44.36,45.9,45.51,77.95,74.53,71.85,88.42,84.53,82.03
50,44,44,21,617.21,45.16,46.31,45.8,78.58,74.92,72.58,87.65,84.05,82.16
51,44,44,23,620.34,45.89,46.95,46.22,78.93,76.23,72.88,87.08,83.74,82.42
52,44,44,25,626.4,48.5,47.75,46.63,80.39,75.86,73.77,86.69,84.08,82.73
53,44,44,27,578.74,48.31,47.96,0.0,80.36,76.48,73.48,85.84,83.53,82.78
54,44,44,29,629.51,49.24,48.63,47.15,80.25,76.64,74.04,86.17,83.87,83.52
55,44,44,31,630.0,50.29,48.61,47.55,80.9,76.2,73.86,86.71,83.15,82.73
56,44,44,33,632.29,50.46,48.98,47.61,81.13,75.98,74.14,86.37,84.05,83.57
57,44,48,19,622.23,44.27,46.16,46.35,78.75,76.27,73.05,88.87,85.61,82.9
58,44,48,21,628.81,45.92,47.38,46.57,80.21,76.52,73.87,89.42,85.8,83.12
59,44,48,23,629.77,47.64,47.31,46.95,80.44,77.07,74.27,87.76,85.66,82.67
60,44,48,25,632.26,48.39,48.67,47.26,80.96,77.1,74.42,87.57,84.7,83.19
61,44,48,27,632.82,49.52,49.01,47.36,79.49,77.58,74.24,87.25,84.65,83.72
62,44,48,29,635.59,49.41,49.68,47.83,81.33,77.42,74.5,87.61,85.11,82.7
63,44,48,31,637.88,50.68,49.48,48.06,80.78,77.61,74.66,87.77,85.02,83.82
64,44,48,33,638.16,50.83,49.78,48.01,81.1,77.44,74.91,87.63,84.55,83.91
65,44,52,19,551.86,45.33,46.72,47.14,78.61,0.0,74.35,89.72,86.4,83.59
66,44,52,21,633.35,47.27,48.3,47.15,79.05,77.53,74.9,89.17,86.48,83.5
67,44,52,23,635.05,47.91,48.57,47.58,80.94,77.58,74.92,87.95,85.99,83.61
68,44,52,25,638.19,49.5,49.3,48.12,81.0,78.05,75.54,87.29,85.84,83.55
69,44,52,27,561.7,49.46,49.47,48.44,81.24,0.0,75.51,88.18,85.88,83.52
70,44,52,29,643.35,51.63,49.77,48.59,81.49,78.7,75.48,88.27,85.67,83.75
71,44,52,31,643.48,51.05,49.97,48.74,81.78,78.33,75.18,88.84,85.22,84.37
72,44,52,33,644.2,51.77,49.84,48.56,81.69,77.84,75.49,89.44,85.96,83.61
73,44,56,19,634.52,46.32,47.61,47.44,78.73,77.85,75.75,89.61,86.85,84.36
74,44,56,21,559.72,48.09,48.72,48.24,0.0,78.25,75.9,89.62,86.63,84.27
75,44,56,23,640.6,49.23,48.91,48.77,80.42,78.91,76.31,87.94,86.5,83.61
76,44,56,25,641.66,49.22,49.32,48.21,81.29,78.81,76.17,88.44,86.25,83.95
77,44,56,27,509.34,50.37,0.0,48.8,81.26,78.58,76.34,88.61,85.38,0.0
78,44,56,29,646.14,51.45,50.59,49.56,81.57,79.44,76.21,87.48,85.99,83.85
79,44,56,31,647.97,51.36,50.3,48.93,81.49,78.9,76.66,89.73,86.02,84.58
80,44,56,33,646.61,51.24,50.17,49.17,81.26,78.59,76.33,89.72,86.02,84.11
81,44,60,19,553.04,47.96,47.92,48.61,79.49,78.1,75.8,90.07,0.0,85.09
82,44,60,21,644.33,48.93,48.99,48.7,80.63,78.84,76.39,88.98,87.43,85.44
83,44,60,23,470.12,49.47,49.85,49.06,80.98,79.15,76.6,0.0,0.0,85.01
